ts,protocol,source,device,message,word_count,action_category,actual_latency_ms,cascaded_latency_ms,improvement_pct,asr_ms,llm_ms,tts_ms,direct_system,cascaded_system
1777842918.034,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,38.76,2238.76,98.27,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842922.025,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,6.6,2206.6,99.7,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842925.127,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,42.22,2242.22,98.12,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842937.131,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,41.71,2241.71,98.14,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842941.934,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,50.94,2250.94,97.74,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842945.001,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,39.76,2239.76,98.22,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842958.511,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,17.75,2217.75,99.2,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842961.582,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,31.49,2231.49,98.59,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842963.093,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,1403.6,3603.6,61.05,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842964.743,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,19.86,2219.86,99.11,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842975.169,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,13.57,2213.57,99.39,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842978.219,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,32.9,2232.9,98.53,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842991.719,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,27.29,2227.29,98.77,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842994.771,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,36.19,2236.19,98.38,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843008.314,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,14.81,2214.81,99.33,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843011.382,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,26.01,2226.01,98.83,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843024.888,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,28.98,2228.98,98.7,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843027.93,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,25.14,2225.14,98.87,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843041.497,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,39.4,2239.4,98.24,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843044.532,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,10.62,2210.62,99.52,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843054.952,adaptive,det,iphone,"Person left, 2.0 meters.",4,info,26.81,2226.81,98.8,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843058.089,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,20.13,2220.13,99.09,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843061.125,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,30.63,2230.63,98.63,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843065.427,adaptive,det,iphone,"Wheel left, 3.1 meters.",4,info,34.26,2234.26,98.47,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843068.22,adaptive,det,iphone,"Bicycle wheel left, 2.3 meters.",5,info,1020.09,3220.09,68.32,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843074.614,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,18.11,2218.11,99.18,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777843077.66,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,29.73,2229.73,98.67,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
